what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.add.block.comment",1541130439529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130440461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541130445124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541130451517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130452117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130471450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130504992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130519441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130565125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130636341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130648482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130651385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130668163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130668998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130669842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130679018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130701630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130702493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130702913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130703574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130704274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130714432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541130773725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541130775783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130776853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1541130793362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1541130794032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541130801012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541130802990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130803449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130818430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130834704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130843524
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541130867129
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541130874874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130893843
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541130915261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130925906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130930473
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541130931840
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541130933176
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541130934564
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541130935799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130944554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130947666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130954500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130959891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130960557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130961330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130963674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130969211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541130980512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541130987702
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541131001749
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131001991
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131002050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541131004476
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131006305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541131008021
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131020985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541131023260
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131024649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541131026238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541131028079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541131030547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1541131032505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541131038182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541131041052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131043089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131224529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131227355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131227359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131227832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131232390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131265039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131267662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131268283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131269016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131272051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131342639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541131349171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131370339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131421958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131439361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131514271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131522055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131523559
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131523626
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131523678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131535804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131560522
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131561710
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1541131582238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541131583388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541131592388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131607245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131617669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541131623465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131625904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541131797298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1541131807220
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131812732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1541131814778
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541131815827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1541131815828
